district, hot, not
G36011, 1, 0
G20004, 1, 0
G04003, 1, 0
G34006, 0, 1
G36015, 1, 0
G42016, 0, 1
G09003, 1, 0
G18008, 1, 0
G05003, 2, 0
G12023, 0, 1
G17009, 1, 0
G06028, 0, 1
G30000, 1, 0
G36027, 1, 0
G55005, 1, 0
G36008, 0, 1
G13002, 1, 0
G45004, 1, 0
G36002, 2, 0
G42006, 1, 0
G42010, 1, 0
G41003, 0, 1
G47003, 0, 1
G36024, 0, 1
G42012, 0, 1
G48008, 1, 1
G48007, 0, 1
G06026, 1, 0
G06021, 1, 0
G47004, 0, 1
G06036, 1, 0
G13014, 0, 3
G17006, 1, 1
G06049, 1, 0
G17014, 0, 1
G26010, 1, 0
G17016, 1, 1
G41004, 3, 0
G22004, 0, 1
G42014, 0, 1
G17015, 0, 1
G53008, 0, 1
G36017, 1, 0
G41002, 1, 0
G51005, 0, 1
G48017, 1, 1
G15001, 1, 0
G48031, 1, 0
G12004, 1, 1
G06027, 2, 0
G42008, 0, 1
G06004, 1, 0
G06014, 1, 0
G42001, 1, 0
G36004, 1, 0
G36025, 2, 0
G06030, 0, 1
G26014, 0, 2
G25007, 0, 1
G48005, 0, 2
G08002, 1, 0
G42011, 1, 0
G06017, 0, 1
G28003, 1, 1
G11098, 1, 1
G04009, 0, 1
G17008, 0, 1
G37004, 0, 1
G15002, 1, 0
G13008, 1, 0
G06024, 1, 0
G48036, 0, 1
G06006, 1, 0
G18006, 1, 0
G17002, 2, 0
G26001, 1, 1
G47002, 0, 1
G24006, 0, 1
G42013, 0, 1
G44001, 0, 1
G26011, 0, 1
G26007, 1, 1
G31003, 1, 0
G24007, 0, 1
G48004, 0, 1
G12015, 1, 0
G54003, 0, 1
G12002, 0, 1
G39011, 0, 1
G26003, 0, 2
G12011, 1, 0
G18005, 1, 1
G06019, 1, 0
G05002, 1, 0
G34007, 1, 0
G48027, 1, 0
G45007, 1, 0
G48028, 0, 1
G34010, 0, 1
G26006, 2, 0
G13006, 1, 0
G22005, 0, 1
G48003, 1, 0
G12016, 1, 0
G48010, 0, 2
G29001, 1, 0
G09001, 0, 1
G12007, 1, 0
G51011, 0, 1
G12008, 1, 0
G18001, 1, 0
G24001, 0, 1
G29006, 1, 0
G36014, 1, 0
G26008, 0, 1
G27001, 1, 0
G39004, 0, 1
G48023, 1, 0
G37002, 0, 1
G20001, 1, 0
G48006, 0, 1
G09005, 0, 1
G42002, 1, 0
G42004, 1, 0
G36001, 0, 1
G48032, 1, 0
G17013, 1, 1
G39002, 0, 1
G17007, 0, 1
G34001, 4, 1
G48022, 0, 1
G48012, 0, 1
G39008, 1, 0
G08001, 0, 1
G06029, 1, 0
G55001, 1, 0
G24005, 0, 1
G44002, 1, 0
G36010, 0, 1
G26002, 1, 1
G06033, 0, 1
G04004, 1, 0
G04006, 3, 0
G39006, 0, 1
G27005, 2, 0
G21004, 0, 1
G06037, 1, 0
G48001, 2, 0
G40002, 1, 0
G48011, 0, 1
G48014, 0, 1
G36003, 1, 0
G12021, 0, 1
G36019, 1, 1
G36009, 1, 0
G39010, 2, 0
G37008, 0, 1
G17004, 2, 0
